APT_CODE,DATE,DEP,YEAR,STATE
Hamburg (EDDH),2020-07-29,77.0,2020,Germany
Rome - Ciampino (LIRA),2020-06-23,33.0,2020,Italy
London - Gatwick (EGKK),2021-04-25,25.0,2021,United Kingdom
Kefallinia (LGKF),2021-01-16,2.0,2021,Greece
Hanover (EDDV),2021-08-10,61.0,2021,Germany
Bristol (EGGD),2021-12-23,62.0,2021,United Kingdom
Milan - Malpensa (LIMC),2020-11-07,89.0,2020,Italy
London - Gatwick (EGKK),2021-08-22,162.0,2021,United Kingdom
Nuremberg (EDDN),2022-03-15,26.0,2022,Germany
Leipzig-Halle (EDDP),2021-06-12,75.0,2021,Germany
Bergamo (LIME),2021-06-09,60.0,2021,Italy
